Time,Date,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
16:48:10,19/04/2021,L0117,,LORONG 25/25A GEYLANG OFF STREET,1.3154114085899413 103.88282913196923,20,Y,URA
16:48:10,19/04/2021,L0123,,LORONG 9/11 GEYLANG OFF STREET,1.3132431536109048 103.87646592168618,1,Y,URA
16:48:10,19/04/2021,L0123,,LORONG 9/11 GEYLANG OFF STREET,1.3132431536109048 103.87646592168618,38,C,URA
16:48:10,19/04/2021,L0124,,LORONG 37 GEYLANG OFF STREET,1.315091678312372 103.88943334952766,17,Y,URA
16:48:10,19/04/2021,L0124,,LORONG 37 GEYLANG OFF STREET,1.315091678312372 103.88943334952766,3,C,URA
16:48:10,19/04/2021,L0125,,LORONG 31 GEYLANG OFF STREET,1.3150474541189423 103.88714181973822,20,Y,URA
16:48:10,19/04/2021,L0125,,LORONG 31 GEYLANG OFF STREET,1.3150474541189423 103.88714181973822,45,C,URA
16:48:10,19/04/2021,M0040,,MACKENZIE ROAD A OFF STREET,1.305166862591867 103.84955574725188,58,C,URA
16:48:10,19/04/2021,M0059,,MACKENZIE ROAD B OFF STREET,1.3058144966396488 103.84756472391136 1.3062999712327648 103.84694294724167,26,H,URA
16:48:10,19/04/2021,M0059,,MACKENZIE ROAD B OFF STREET,1.3058144966396488 103.84756472391136 1.3062999712327648 103.84694294724167,23,C,URA
16:48:10,19/04/2021,M0076,,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,0,Y,URA
16:48:10,19/04/2021,M0076,,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,72,C,URA
16:48:10,19/04/2021,M0078,,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,195,Y,URA
16:48:10,19/04/2021,M0078,,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,192,C,URA
16:48:10,19/04/2021,M0084,,MARINA VIEW OFF STREET,1.2746496875172093 103.84947277096812,20,C,URA
16:48:10,19/04/2021,M0088,,MARGARET DRIVE OFF STREET,1.3004199971190697 103.80301640122015,39,C,URA
16:48:10,19/04/2021,N0006,,NEIL ROAD OFF STREET,1.2793383109971352 103.84191274173004,0,C,URA
16:48:10,19/04/2021,N0012,,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885 103.86355580061468,0,C,URA
16:48:10,19/04/2021,N0013,,NORTH BRIDGE ROAD OFF  STREET,1.3004003577425078 103.8566466267615,64,C,URA
16:48:10,19/04/2021,O0028,,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,19,C,URA
16:48:10,19/04/2021,O0028,,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,0,Y,URA
16:48:10,19/04/2021,P0013,,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,1.2751330286026683 103.84819161939349,13,C,URA
16:48:10,19/04/2021,P0033,,PASIR RIS CLOSE OFF STREET,1.3769386098723717 103.95649247971937,331,C,URA
16:48:10,19/04/2021,P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,17,C,URA
16:48:10,19/04/2021,P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,8,Y,URA
16:48:10,19/04/2021,P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,0,Y,URA
16:48:10,19/04/2021,P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,37,C,URA
16:48:10,19/04/2021,P0075,,PENHAS ROAD / LAVENDER STREET OFF STREET,1.3099941806456645 103.86276472942548,7,C,URA
16:48:10,19/04/2021,P0093,,PASIR PANJANG ROAD OFF  STREET,1.2767043723268199 103.79566016940372,9,C,URA
16:48:10,19/04/2021,P0094,,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,0,Y,URA
16:48:10,19/04/2021,P0094,,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,18,C,URA
16:48:10,19/04/2021,P0096,,PENANG ROAD OFF STREET,1.29980874920638 103.84212527391578,0,C,URA
16:48:10,19/04/2021,P0106,,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,0,Y,URA
16:48:10,19/04/2021,P0106,,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,41,C,URA
16:48:10,19/04/2021,P0109,,PASIR RIS PARK CAR PARK E OFF STREET,1.384591856813094 103.94380876998527,23,C,URA
16:48:10,19/04/2021,P0111,,PAHANG STREET OFF STREET,1.301759650174214 103.86086565472472,2,C,URA
16:48:10,19/04/2021,P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,0,Y,URA
16:48:10,19/04/2021,P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,51,C,URA
16:48:10,19/04/2021,P0117,,PECK SEAH STREET OFF STREET,1.2774732980424977 103.84526725219939,8,C,URA
16:48:10,19/04/2021,P0117,,PECK SEAH STREET OFF STREET,1.2774732980424977 103.84526725219939,0,Y,URA
16:48:10,19/04/2021,Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,C,URA
16:48:10,19/04/2021,Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,Y,URA
16:48:10,19/04/2021,Q0008,,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),1.304678940975563 103.80216512483725,46,C,URA
16:48:10,19/04/2021,R0038,,RACE COURSE ROAD / NORTHUMBERLAND ROAD,1.3109181708259368 103.85225012243872,116,C,URA
16:48:10,19/04/2021,R0038,,RACE COURSE ROAD / NORTHUMBERLAND ROAD,1.3109181708259368 103.85225012243872,15,Y,URA
16:48:10,19/04/2021,S0020,,SEMBAWANG HILLS FOOD CENTRE OFF STREET,1.3722654677464599 103.8288231857784,5,C,URA
16:48:10,19/04/2021,S0049,,Serangoon Rd/Lavender  St Off Street,1.3148874577182357 103.8585875713976,110,C,URA
16:48:10,19/04/2021,S0049,,Serangoon Rd/Lavender  St Off Street,1.3148874577182357 103.8585875713976,5,Y,URA
16:48:10,19/04/2021,S0055,,SERANGOON GARDEN MARKET OFF STREET,1.3627998667047532 103.86632587825486,100,C,URA
16:48:10,19/04/2021,S0106,,SIN MING DRIVE OFF STREET,1.3566926857648622 103.83606317799318,50,C,URA
16:48:10,19/04/2021,S0108,,SHREWSBURY ROAD OFF STREET,1.3186024746953806 103.85067798545586,3,Y,URA
16:48:10,19/04/2021,S0108,,SHREWSBURY ROAD OFF STREET,1.3186024746953806 103.85067798545586,19,C,URA
16:48:10,19/04/2021,S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,372,Y,URA
16:48:10,19/04/2021,S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,380,C,URA
16:48:10,19/04/2021,S0150,,SULTAN GATE / ALIWAL STREET OFF STREET,1.3024545607005944 103.86058819582028,1,C,URA
16:48:10,19/04/2021,S0166,,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,1.453699410782659 103.83314342266785,32,C,URA
16:48:10,19/04/2021,S0166,,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,1.453699410782659 103.83314342266785,10,Y,URA
16:48:10,19/04/2021,S0171,,SPOONER ROAD OFF STREET,1.2756889219219043 103.8350591496928,100,C,URA
16:48:10,19/04/2021,T0017,,TIONG BAHRU PARK OFF STREET,1.2869316650017533 103.82464089829915,18,C,URA
16:48:10,19/04/2021,T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,35,Y,URA
16:48:10,19/04/2021,T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,155,C,URA
16:48:10,19/04/2021,T0129,,TANJONG KATONG COMPLEX,1.3168901823921382 103.89522931567416,80,C,URA
16:48:10,19/04/2021,T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884625 103.89608109872438,14,Y,URA
16:48:10,19/04/2021,T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884625 103.89608109872438,82,C,URA
16:48:10,19/04/2021,T0141,,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),1.3039250916354699 103.89688542898858,14,C,URA
16:48:10,19/04/2021,T0141,,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),1.3039250916354699 103.89688542898858,3,Y,URA
16:48:10,19/04/2021,U0036,,UPPER EAST COAST ROAD OFF STREET,1.3122387155540085 103.92605288490613,51,C,URA
16:48:10,19/04/2021,U0042,,UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,1.3321242011794179 103.9464677456276,19,C,URA
16:48:10,19/04/2021,V0007,,VERDUN ROAD OFF STREET,1.310324224867271 103.85612855572867,0,C,URA
16:48:10,19/04/2021,W0029,,WEST COAST PARK 1 OFF STREET,1.2896228087061794 103.77142607054463,64,C,URA
16:48:10,19/04/2021,W0055,,WARNA ROAD OFF STREET,1.3110802058970243 103.79619690369877,0,C,URA
16:48:10,19/04/2021,Y0019,,YAN KIT ROAD / CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,0,Y,URA
16:48:10,19/04/2021,Y0019,,YAN KIT ROAD / CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,13,C,URA
16:48:10,19/04/2021,A2,,BLK 206/207 ANG MO KIO STREET 22,1.366237056 103.8430464,128,C,HDB
16:48:10,19/04/2021,A4,,BLK 217/220 ANG MO KIO AVENUE 1,1.365691621 103.8411922,222,C,HDB
16:48:10,19/04/2021,A7,,BLK 212/213 ANG MO KIO STREET 23,1.368392487 103.8413018,194,C,HDB
16:48:10,19/04/2021,A8,,BLK 209/210 ANG MO KIO STREET 22,1.368756071 103.8433077,27,C,HDB
16:48:10,19/04/2021,A9,,BLK 202/203 ANG MO KIO STREET 22,1.36807437 103.8443922,73,C,HDB
16:48:10,19/04/2021,B6,,BLK 204/209 NEW UPPER CHANGI ROAD,1.326330497 103.9303395,335,C,HDB
16:48:10,19/04/2021,B7,,BLK 211/218 BEDOK NORTH STREET 1,1.32513124 103.9319217,0,C,HDB
16:48:10,19/04/2021,B8,,BLK 201/203 BEDOK NORTH STREET 1,1.325881496 103.9282762,41,C,HDB
16:48:10,19/04/2021,B9,,BLK 402/403 BEDOK NORTH AVENUE 3,1.330172709 103.9338152,126,C,HDB
16:48:10,19/04/2021,C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,148,C,HDB
16:48:10,19/04/2021,C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,108,Y,HDB
16:48:10,19/04/2021,C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,0,H,HDB
16:48:10,19/04/2021,C6,,BLK 328-334 CLEMENTI AVE 2,1.314488114 103.7676912,105,C,HDB
16:48:10,19/04/2021,C7,,BLK 349-355 CLEMENTI AVE 2,1.314842819 103.7705785,215,C,HDB
16:48:10,19/04/2021,C8,,BLK 335/338 CLEMENTI AVE 2,1.316674657 103.7686311,246,C,HDB
16:48:10,19/04/2021,C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,130,C,HDB
16:48:10,19/04/2021,C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,86,Y,HDB
16:48:10,19/04/2021,C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,0,H,HDB
16:48:10,19/04/2021,CY,,BLK 269/269A/269B CHENG YAN COURT CAR PARK,1.300626028 103.8536649,0,C,HDB
16:48:10,19/04/2021,H3,,BLK 87 ZION RD,1.291008687 103.8325154,12,C,HDB
16:48:10,19/04/2021,H4,,BLK 22 HAVELOCK RD,1.288093897 103.8293714,49,C,HDB
16:48:10,19/04/2021,H6,,BLK 77/79 GANGES AVENUE,1.291369664 103.8289836,124,C,HDB
16:48:10,19/04/2021,H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,50,C,HDB
16:48:10,19/04/2021,H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,44,Y,HDB
16:48:10,19/04/2021,H8,,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,0,H,HDB
16:48:10,19/04/2021,J1,,BLK 101/107 JURONG EAST ST 13,1.336429723 103.7380983,214,C,HDB
16:48:10,19/04/2021,J2,,BLK 108/110 JURONG EAST ST 13,1.33860776 103.7367713,131,C,HDB
16:48:10,19/04/2021,J3,,BLK 111/116 JURONG EAST ST 13,1.339494837 103.7354848,198,C,HDB
16:48:10,19/04/2021,J4,,BLK 201/206 JURONG EAST ST 21,1.337530169 103.7419026,72,C,HDB
16:48:10,19/04/2021,J5,,BLK 207/208 JURONG EAST ST 21,1.338314475 103.7424182,147,C,HDB
16:48:10,19/04/2021,J6,,BLK 209/214 JURONG EAST ST 21,1.3390681 103.7388514,178,C,HDB
16:48:10,19/04/2021,J7,,BLK 215A/231 JURONG EAST ST 21,1.341543873 103.7380331,477,C,HDB
16:48:10,19/04/2021,J8,,BLK 232/240 JURONG EAST ST 21,1.340430194 103.741574,129,C,HDB
16:48:10,19/04/2021,J9,,BLK 241/245 JURONG EAST ST 24,1.342122435 103.7420009,110,C,HDB
16:48:10,19/04/2021,K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,12,C,HDB
16:48:10,19/04/2021,K2,,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,37,Y,HDB
