weekdayRate,ppCode,ppName,sunPHRate
$0.60,K0022,KAKI BUKIT AVENUE 4 ,$0.60
$0.60,K0022,KAKI BUKIT AVENUE 4 ,$0.60
$0.60,K0034,KUNG CHONG ROAD ,$0.60
$0.60,K0034,KUNG CHONG ROAD ,$0.60
$0.60,K0037,KING GEORGE'S AVENUE OFF STREET,$0.60
$0.60,K0037,KING GEORGE'S AVENUE OFF STREET,$0.60
$0.60,K0039,KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,$0.60
$0.75,K0039,KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,$0.60
$0.60,K0039,KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,$0.60
$0.60,K0039,KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,$0.60
$0.60,K0049,KELANTAN ROAD ,$0.60
$0.60,K0064,KOVAN ROAD ,$0.60
$0.60,K0069,KELANTAN LANE ,$0.60
$0.60,K0081,KIM CHUAN ROAD ,$0.60
$0.60,K0081,KIM CHUAN ROAD ,$0.60
$0.60,K0082,KAMPONG BUGIS OFF STREET,$0.60
$0.60,K0082,KAMPONG BUGIS OFF STREET,$0.60
$0.60,K0087,KIM KEAT CLOSE ,$0.60
$0.60,K0087,KIM KEAT CLOSE ,$0.60
$0.60,K0091,KAKI BUKIT ROAD 2 ,$0.60
$0.60,K0091,KAKI BUKIT ROAD 2 ,$0.60
$0.60,K0094,KELLOCK ROAD ,$0.60
$1.20,K0108,KEPPEL ROAD OFF STREET ,$0.60
$0.60,K0108,KEPPEL ROAD OFF STREET ,$0.60
$0.60,K0111,KINTA ROAD OFF STREET ,$0.60
$0.60,K0111,KINTA ROAD OFF STREET ,$0.60
$0.60,K0113,KIM YAM ROAD ,$0.60
$0.60,K0115,KAKI BUKIT PLACE ,$0.60
$0.60,K0115,KAKI BUKIT PLACE ,$0.60
$0.60,K0121,KAMPONG KAPOR ROAD OFF STREET,$0.60
$0.60,K0121,KAMPONG KAPOR ROAD OFF STREET,$0.60
$1.20,L0003,LIANG SEAH STREET ,$0.60
$0.60,L0003,LIANG SEAH STREET ,$0.60
$1.20,L0005,LLOYD ROAD ,$0.60
$0.60,L0005,LLOYD ROAD ,$0.60
$1.20,L0009,LORONG TELOK ,$0.60
$0.60,L0009,LORONG TELOK ,$0.60
$0.60,L0058,LIM TUA TOW ROAD OFF STREET,$0.60
$0.60,L0061,LIM TUA TOW ROAD ,$0.60
$0.60,L0064,LORONG 21 GEYLANG OFF STREET,$0.60
$0.60,L0064,LORONG 21 GEYLANG OFF STREET,$0.60
$0.60,L0077,LENG KEE ROAD ,$0.60
$0.60,L0077,LENG KEE ROAD ,$0.60
$0.60,L0078,LORONG MYDIN OFF STREET,$0.60
$0.60,L0078,LORONG MYDIN OFF STREET,$0.60
$0.60,L0081,LORONG AMPAS ,$0.60
$0.60,L0085,LOYANG WAY ,$0.60
$0.60,L0087,LOYANG CRESCENT ,$0.60
$0.60,L0088,LOYANG DRIVE ,$0.60
$0.60,L0089,LOYANG LANE ,$0.60
$0.60,L0096,LORONG 101 CHANGI ,$0.60
$0.60,L0097,LORONG 102 CHANGI ,$0.60
$0.60,L0098,LORONG 104 CHANGI ,$0.60
$0.60,L0099,LORONG 105 CHANGI ,$0.60
$0.60,L0100,LORONG 106 CHANGI ,$0.60
$0.60,L0101,LORONG 107 CHANGI ,$0.60
$0.60,L0102,LORONG 108 CHANGI ,$0.60
$0.60,L0103,LANGSAT ROAD ,$0.60
$0.60,L0104,LORONG BEKUKONG OFF STREET,$0.60
$0.60,L0104,LORONG BEKUKONG OFF STREET,$0.60
$0.60,L0107,LORONG BACHOK OFF STREET,$0.60
$0.60,L0107,LORONG BACHOK OFF STREET,$0.60
$0.60,L0109,LOYANG WAY 1 ,$0.60
$0.60,L0110,LOYANG STREET ,$0.60
$0.60,L0116,LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,$0.60
$0.60,L0116,LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,$0.60
$0.60,L0117,LORONG 25/25A GEYLANG OFF STREET,$0.60
